Country Name,Country Code,Time,Time Code,Renewable energy consumption TJ
United States,USA,2010,YR2010,4327122
United States,USA,2011,YR2011,4663837
United States,USA,2012,YR2012,4802944
United States,USA,2013,YR2013,5052304
United States,USA,2014,YR2014,5175231
United States,USA,2015,YR2015,5097931
United States,USA,2016,YR2016,..
Norway,NOR,2010,YR2010,449918.9
Norway,NOR,2011,YR2011,430093.6
Norway,NOR,2012,YR2012,445975.8
Norway,NOR,2013,YR2013,443939.9
Norway,NOR,2014,YR2014,426112.9
Norway,NOR,2015,YR2015,436883.3
Norway,NOR,2016,YR2016,..
Germany,DEU,2010,YR2010,889170.7
Germany,DEU,2011,YR2011,935657
Germany,DEU,2012,YR2012,997310
Germany,DEU,2013,YR2013,1030489
Germany,DEU,2014,YR2014,1087820
Germany,DEU,2015,YR2015,1183042
Germany,DEU,2016,YR2016,..
China,CHN,2010,YR2010,7871450
China,CHN,2011,YR2011,7655961
China,CHN,2012,YR2012,8069989
China,CHN,2013,YR2013,8275653
China,CHN,2014,YR2014,8744472
China,CHN,2015,YR2015,9084482
China,CHN,2016,YR2016,..
India,IND,2010,YR2010,7376893
India,IND,2011,YR2011,7553407
India,IND,2012,YR2012,7628053
India,IND,2013,YR2013,7791782
India,IND,2014,YR2014,7903163
India,IND,2015,YR2015,8011645
India,IND,2016,YR2016,..
Brazil,BRA,2010,YR2010,3819419
Brazil,BRA,2011,YR2011,3838202
Brazil,BRA,2012,YR2012,3798796
Brazil,BRA,2013,YR2013,3772010
Brazil,BRA,2014,YR2014,3788991
Brazil,BRA,2015,YR2015,3887176
Brazil,BRA,2016,YR2016,..
Saudi Arabia,SAU,2010,YR2010,250.4125
Saudi Arabia,SAU,2011,YR2011,281.2274
Saudi Arabia,SAU,2012,YR2012,284.2929
Saudi Arabia,SAU,2013,YR2013,284.3743
Saudi Arabia,SAU,2014,YR2014,285.3326
Saudi Arabia,SAU,2015,YR2015,285.306
Saudi Arabia,SAU,2016,YR2016,..
Denmark,DNK,2010,YR2010,131443.4
Denmark,DNK,2011,YR2011,139677.6
Denmark,DNK,2012,YR2012,152994.2
Denmark,DNK,2013,YR2013,151355.2
Denmark,DNK,2014,YR2014,159864.5
Denmark,DNK,2015,YR2015,181410.8
Denmark,DNK,2016,YR2016,..
South Africa,ZAF,2010,YR2010,456731.3
South Africa,ZAF,2011,YR2011,463732.6
South Africa,ZAF,2012,YR2012,468574.1
South Africa,ZAF,2013,YR2013,476515.6
South Africa,ZAF,2014,YR2014,489468.3
South Africa,ZAF,2015,YR2015,504710.1
South Africa,ZAF,2016,YR2016,..
Australia,AUS,2010,YR2010,244814.1
Australia,AUS,2011,YR2011,254904.8
Australia,AUS,2012,YR2012,256741.7
Australia,AUS,2013,YR2013,290076.8
Australia,AUS,2014,YR2014,294879.7
Australia,AUS,2015,YR2015,296838.1
Australia,AUS,2016,YR2016,..
,,,,
,,,,
,,,,
Data from database: Sustainable Energy for All,,,,
Last Updated: 06/30/2018,,,,